id,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster12
3ZSf1TJZyRb0rnWYuUtdX4,0.0,0.243,0.417,0.0,-11.73,1.0,0.0392,0.684,0.912,0.13,0.175,99.805,18
3KVsq9veMUESIb3ln7Rowv,0.0,0.168,0.181,4.0,-15.593,1.0,0.0358,0.888,0.888,0.0798,0.0377,81.695,5
7hlYfQpGJWdheP2quiyz8j,0.0,0.0784,0.0649,5.0,-18.985,1.0,0.0425,0.857,0.951,0.0712,0.0308,73.13,23
6I50fU69S2yz4yc96r55s2,0.0,0.271,0.0329,1.0,-24.583,1.0,0.0372,0.817,0.871,0.0775,0.054,118.569,19
4bCeqjpV9iyqM3UFJuTJf3,0.0,0.346,0.322,2.0,-13.737,0.0,0.0449,0.759,0.93,0.0931,0.0976,73.897,23
2FMeboz4OrxtJz49sJsg4d,0.0,0.449,0.0534,7.0,-24.646,1.0,0.0332,0.896,0.518,0.216,0.0584,115.118,10
15VDap1Kj0FjLe1VWADhW2,0.0,0.29,0.361,4.0,-14.791,0.0,0.0422,0.798,0.765,0.116,0.139,136.566,7
2FNM1hkj22dtos4SmRsjND,0.0,0.223,0.0757,5.0,-18.807,1.0,0.0366,0.849,0.9,0.13,0.0398,104.036,10
5ZSAdkQb23NPIcUGt6exdm,0.0,0.699,0.419,0.0,-15.133,1.0,0.134,0.255,0.0239,0.0471,0.822,131.629,1
21n9uPZmtIKoWnuzliKwgk,0.0,0.299,0.173,2.0,-18.186,0.0,0.0522,0.898,0.616,0.123,0.0381,148.621,7
2Xu7MPDIsDobH3czJMAhZM,0.0,0.156,0.156,2.0,-17.088,0.0,0.038,0.747,0.463,0.172,0.0566,74.83,23
2QWIR3HjVDjP65EmfYKzBt,0.0,0.0933,0.131,1.0,-17.31,1.0,0.0384,0.859,0.437,0.0761,0.0345,77.046,5
2Nh7tGG4fQcEvKd824PNg7,0.0,0.197,0.108,2.0,-20.444,1.0,0.036,0.859,0.749,0.131,0.0751,96.387,18
0mcjp7typ1CcpSiycHZT2E,0.0,0.185,0.0599,8.0,-27.514,1.0,0.0428,0.956,0.872,0.125,0.0393,77.707,14
1S4P7FNKSozIWwmkhb9VGq,0.0,0.292,0.249,2.0,-14.242,0.0,0.036,0.82,0.836,0.36,0.11,136.715,7
3HjDvnmiTLKaDalq4u2Hem,0.0,0.297,0.372,0.0,-11.987,1.0,0.0331,0.786,0.88,0.0758,0.191,57.633,16
3UqSTlEwO5spY8YL3GfQGv,0.0,0.127,0.369,5.0,-13.852,1.0,0.0392,0.524,0.905,0.165,0.192,79.541,5
1ghlpxVfPbFH2jenrv9vVw,0.0,0.471,0.411,2.0,-15.755,1.0,0.041,0.733,0.853,0.28,0.282,79.986,5
61ny12xki8cVUKP46nXp6Z,0.0,0.186,0.111,5.0,-22.164,1.0,0.0505,0.443,0.908,0.24,0.0339,74.003,14
3jypIprWefCT4UME5z9Jur,0.0,0.198,0.052,0.0,-25.782,1.0,0.0334,0.93,0.917,0.088,0.0394,91.315,22
1JNxsUGy7eHEPogYXAGUfI,0.0,0.313,0.621,0.0,-14.685,1.0,0.12,0.49,0.914,0.166,0.256,114.04,10
3qjBxDSgJyhM4c0RfghkvW,0.0,0.224,0.0481,0.0,-27.208,0.0,0.0319,0.916,0.864,0.142,0.0453,84.995,22
62Z6d0QGe1Vlg8K5cHgT8B,0.0,0.277,0.316,0.0,-16.298,1.0,0.0432,0.787,0.617,0.137,0.0798,92.783,18
3FCtiokSIH9d4mDr1r0y64,0.0,0.0622,0.034,5.0,-24.722,1.0,0.0414,0.941,0.923,0.152,0.0356,68.173,14
7AKq6sIg2yRn9eMO4GehK1,0.0,0.217,0.43,4.0,-14.087,0.0,0.0505,0.709,0.704,0.283,0.0962,62.946,16
5ZagvkgT7DIpyq38TBZz4Y,0.0,0.0885,0.0593,0.0,-21.209,1.0,0.05,0.777,0.865,0.0447,0.0374,77.344,5
44H20pLcLEyxiMgfwD3XLR,0.0,0.182,0.0294,0.0,-28.048,1.0,0.0351,0.908,0.904,0.0989,0.0374,102.378,10
7t8GPseDK7PNLd688xztTw,0.0,0.366,0.481,5.0,-13.485,1.0,0.128,0.594,0.695,0.306,0.177,115.054,10
6w5Q8usjTRZygQNLXcF4ma,0.0,0.17,0.0413,2.0,-22.738,0.0,0.0384,0.798,0.888,0.0924,0.034,113.977,10
6CX899yO5b5DZh2Gvtw5se,0.0,0.274,0.242,8.0,-17.854,1.0,0.0461,0.781,0.874,0.0999,0.0393,87.098,22
5hcZYfxB15rBWrNW09gXku,0.0,0.289,0.282,0.0,-17.086,1.0,0.0475,0.254,0.34,0.108,0.138,135.961,7
73GF9PvQPOtqdN7pFO1dTW,0.0,0.077,0.072,6.0,-26.877,0.0,0.0396,0.886,0.862,0.113,0.0345,76.569,14
7wSj4FQxskWcmNPdHFVLkU,0.0,0.217,0.407,2.0,-15.324,1.0,0.0812,0.45,0.919,0.235,0.0654,80.005,5
5OOGED27QEN7PlNPcjszrr,0.0,0.0911,0.286,5.0,-15.819,1.0,0.0422,0.645,0.944,0.203,0.0515,71.832,23
3rUMH7i22tlkymhDPOmXUv,0.0,0.116,0.13,0.0,-18.278,1.0,0.0355,0.774,0.914,0.111,0.0666,80.611,5
2bUAO6zdegnU4RNbZ7gtrw,0.0,0.424,0.315,0.0,-18.128,1.0,0.0526,0.621,0.727,0.112,0.0584,80.971,5
5OyhsSqaRE8w7c1hq17DfN,0.0,0.128,0.00892,4.0,-33.337,0.0,0.0419,0.982,0.962,0.107,0.0475,66.833,14
4PJAU9aTtabTknSnepzRT7,0.0,0.125,0.0314,9.0,-22.334,0.0,0.0392,0.973,0.957,0.114,0.0383,67.563,14
6ogAAhi6YI6gJCszC0OOn0,0.0,0.171,0.0127,5.0,-32.066,1.0,0.041,0.979,0.945,0.0985,0.038,59.34,14
20dCnqTMdALhfI81B3avG8,0.0,0.353,0.394,7.0,-15.915,1.0,0.0393,0.725,0.919,0.116,0.195,156.127,4
5xip26rkIkNCFKRpPc9aqd,0.0,0.145,0.0669,7.0,-22.852,1.0,0.0384,0.874,0.836,0.098,0.0595,66.015,14
1RwKYqANWKV9scG89okwJz,0.0,0.164,0.109,8.0,-18.876,1.0,0.041,0.789,0.867,0.0812,0.0392,83.18,5
4JvLzWw0HtcDUbOOiZmQzh,0.0,0.0844,0.0501,5.0,-26.518,0.0,0.0371,0.87,0.94,0.095,0.0361,84.416,22
6a9OfkNF0H1BWjM0g6l1dx,0.0,0.108,0.0463,4.0,-27.851,0.0,0.0455,0.835,0.926,0.134,0.0372,63.645,14
